 INFO  Accepting connections at http://localhost:3000
 HTTP  11/30/2024 11:28:32 PM 67.161.2.254 GET /
 HTTP  11/30/2024 11:28:32 PM 67.161.2.254 Returned 200 in 99 ms
 HTTP  11/30/2024 11:28:32 PM 67.161.2.254 GET /static/js/main.f4334ca5.js
 HTTP  11/30/2024 11:28:32 PM 67.161.2.254 Returned 200 in 5 ms
 HTTP  11/30/2024 11:28:32 PM 67.161.2.254 GET /static/css/main.d59673f8.css
 HTTP  11/30/2024 11:28:32 PM 67.161.2.254 Returned 200 in 3 ms
 HTTP  11/30/2024 11:28:32 PM 67.161.2.254 GET /favicon.ico
 HTTP  11/30/2024 11:28:32 PM 67.161.2.254 Returned 200 in 2 ms
 HTTP  11/30/2024 11:29:13 PM 104.28.123.34 GET /
 HTTP  11/30/2024 11:29:13 PM 104.28.123.34 Returned 200 in 1 ms
 HTTP  11/30/2024 11:29:13 PM 104.28.123.34 GET /manifest.json
 HTTP  11/30/2024 11:29:13 PM 104.28.123.34 Returned 200 in 3 ms
 HTTP  11/30/2024 11:29:13 PM 104.28.123.34 GET /static/js/main.f4334ca5.js
 HTTP  11/30/2024 11:29:13 PM 104.28.123.34 Returned 200 in 1 ms
 HTTP  11/30/2024 11:29:13 PM 104.28.123.34 GET /static/css/main.d59673f8.css
 HTTP  11/30/2024 11:29:13 PM 104.28.123.34 Returned 200 in 1 ms
 HTTP  11/30/2024 11:29:13 PM 104.28.123.34 GET /favicon.ico
 HTTP  11/30/2024 11:29:13 PM 104.28.123.34 Returned 200 in 2 ms
 HTTP  11/30/2024 11:29:52 PM 127.0.0.1 GET /ws
 HTTP  11/30/2024 11:29:52 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  11/30/2024 11:29:57 PM 127.0.0.1 GET /ws
 HTTP  11/30/2024 11:29:57 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  11/30/2024 11:30:07 PM 127.0.0.1 GET /ws
 HTTP  11/30/2024 11:30:07 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  11/30/2024 11:30:25 PM 127.0.0.1 GET /ws
 HTTP  11/30/2024 11:30:25 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  11/30/2024 11:30:44 PM 67.161.2.254 GET /
 HTTP  11/30/2024 11:30:44 PM 67.161.2.254 Returned 304 in 1 ms
 HTTP  11/30/2024 11:30:44 PM 67.161.2.254 GET /static/js/main.f4334ca5.js
 HTTP  11/30/2024 11:30:44 PM 67.161.2.254 Returned 304 in 2 ms
 HTTP  11/30/2024 11:30:44 PM 67.161.2.254 GET /static/css/main.d59673f8.css
 HTTP  11/30/2024 11:30:44 PM 67.161.2.254 Returned 304 in 1 ms
 HTTP  11/30/2024 11:30:44 PM 67.161.2.254 GET /favicon.ico
 HTTP  11/30/2024 11:30:44 PM 67.161.2.254 Returned 304 in 1 ms
 HTTP  11/30/2024 11:30:59 PM 67.161.2.254 GET /
 HTTP  11/30/2024 11:30:59 PM 67.161.2.254 Returned 304 in 1 ms
 HTTP  11/30/2024 11:30:59 PM 67.161.2.254 GET /static/js/main.f4334ca5.js
 HTTP  11/30/2024 11:30:59 PM 67.161.2.254 Returned 304 in 1 ms
 HTTP  11/30/2024 11:30:59 PM 67.161.2.254 GET /static/css/main.d59673f8.css
 HTTP  11/30/2024 11:30:59 PM 67.161.2.254 Returned 304 in 1 ms
 HTTP  11/30/2024 11:30:59 PM 67.161.2.254 GET /favicon.ico
 HTTP  11/30/2024 11:30:59 PM 67.161.2.254 Returned 304 in 1 ms
 HTTP  11/30/2024 11:30:59 PM 127.0.0.1 GET /ws
 HTTP  11/30/2024 11:30:59 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  11/30/2024 11:32:04 PM 127.0.0.1 GET /ws
 HTTP  11/30/2024 11:32:04 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  11/30/2024 11:34:13 PM 127.0.0.1 GET /ws
 HTTP  11/30/2024 11:34:13 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  11/30/2024 11:36:55 PM 104.28.123.34 GET /
 HTTP  11/30/2024 11:36:55 PM 104.28.123.34 Returned 200 in 1 ms
 HTTP  11/30/2024 11:36:56 PM 104.28.123.34 GET /manifest.json
 HTTP  11/30/2024 11:36:56 PM 104.28.123.34 Returned 304 in 2 ms
 HTTP  11/30/2024 11:36:56 PM 104.28.123.34 GET /static/css/main.d59673f8.css
 HTTP  11/30/2024 11:36:56 PM 104.28.123.34 Returned 304 in 1 ms
 HTTP  11/30/2024 11:36:56 PM 104.28.123.34 GET /static/js/main.f4334ca5.js
 HTTP  11/30/2024 11:36:56 PM 104.28.123.34 Returned 304 in 1 ms
 HTTP  11/30/2024 11:38:24 PM 67.161.2.254 GET /
 HTTP  11/30/2024 11:38:24 PM 67.161.2.254 Returned 200 in 2 ms
 HTTP  11/30/2024 11:38:24 PM 67.161.2.254 GET /static/js/main.f4334ca5.js
 HTTP  11/30/2024 11:38:24 PM 67.161.2.254 Returned 200 in 2 ms
 HTTP  11/30/2024 11:38:24 PM 67.161.2.254 GET /static/css/main.d59673f8.css
 HTTP  11/30/2024 11:38:24 PM 67.161.2.254 Returned 200 in 5 ms
 HTTP  11/30/2024 11:38:24 PM 67.161.2.254 GET /favicon.ico
 HTTP  11/30/2024 11:38:24 PM 67.161.2.254 Returned 200 in 1 ms
 HTTP  11/30/2024 11:38:27 PM 183.21.243.61 GET /
 HTTP  11/30/2024 11:38:27 PM 183.21.243.61 Returned 200 in 1 ms
 HTTP  11/30/2024 11:38:27 PM 183.21.243.61 GET /manifest.json
 HTTP  11/30/2024 11:38:27 PM 183.21.243.61 Returned 200 in 1 ms
 HTTP  11/30/2024 11:38:28 PM 183.21.243.61 GET /static/css/main.d59673f8.css
 HTTP  11/30/2024 11:38:28 PM 183.21.243.61 Returned 200 in 2 ms
 HTTP  11/30/2024 11:38:28 PM 183.21.243.61 GET /static/js/main.f4334ca5.js
 HTTP  11/30/2024 11:38:28 PM 183.21.243.61 Returned 200 in 1 ms
 HTTP  11/30/2024 11:38:30 PM 127.0.0.1 GET /ws
 HTTP  11/30/2024 11:38:30 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  11/30/2024 11:39:42 PM 172.104.164.124 GET /
 HTTP  11/30/2024 11:39:42 PM 172.104.164.124 Returned 200 in 1 ms
 HTTP  11/30/2024 11:39:42 PM 172.104.164.124 GET /manifest.json
 HTTP  11/30/2024 11:39:42 PM 172.104.164.124 Returned 200 in 1 ms
 HTTP  11/30/2024 11:39:42 PM 172.104.164.124 GET /static/js/main.f4334ca5.js
 HTTP  11/30/2024 11:39:42 PM 172.104.164.124 Returned 200 in 1 ms
 HTTP  11/30/2024 11:39:42 PM 172.104.164.124 GET /static/css/main.d59673f8.css
